Order_ID,Order_Date,Region,Category,Product,Units_Sold,Unit_Price,Discount,Revenue,Cost,Profit
ORD-0045,2025-02-08,West,Furniture,Office Chair,1,189.99,0.15,161.49,105.0,56.49
ORD-0046,2025-10-04,Northeast,Technology,Wireless Mouse,3,29.99,0.05,85.47,39.0,46.47
ORD-0047,2025-09-06,West,Technology,USB-C Hub,1,44.99,0,44.99,20.0,24.99
ORD-0048,2025-07-14,Northeast,Office Supplies,Printer Paper,8,11.99,0,95.92,40.0,55.92
ORD-0049,2025-08-05,West,Technology,Wireless Mouse,5,29.99,0,149.95,65.0,84.95
ORD-0050,2025-01-30,Northeast,Furniture,Bookshelf,1,119.99,0,119.99,68.0,51.99
ORD-0051,2025-10-27,West,Furniture,Standing Desk,1,329.99,0.1,296.99,205.0,91.99
ORD-0052,2025-02-11,Southeast,Technology,Laptop Stand,11,54.99,0,604.89,308.0,296.89
ORD-0053,2025-07-26,Northeast,Furniture,Standing Desk,10,329.99,0.1,2969.91,2050.0,919.91
ORD-0054,2025-01-21,Northeast,Office Supplies,Printer Paper,5,11.99,0,59.95,25.0,34.95
ORD-0055,2025-12-09,Central,Technology,Mechanical Keyboard,7,79.99,0,559.93,273.0,286.93
ORD-0056,2025-12-10,Central,Office Supplies,Printer Paper,2,11.99,0,23.98,10.0,13.98
ORD-0057,2025-08-23,Northeast,Technology,Wireless Mouse,9,29.99,0,269.91,117.0,152.91
ORD-0058,2025-03-09,Central,Technology,Wireless Mouse,6,29.99,0,179.94,78.0,101.94
ORD-0059,2025-03-22,West,Furniture,Bookshelf,10,119.99,0.15,1019.91,680.0,339.91
ORD-0060,2025-09-28,Northeast,Furniture,Bookshelf,11,119.99,0,1319.89,748.0,571.89
ORD-0061,2025-03-10,Central,Technology,Laptop Stand,12,54.99,0.1,593.89,336.0,257.89
ORD-0062,2025-03-21,Central,Office Supplies,Desk Organizer,12,24.99,0,299.88,120.0,179.88
ORD-0063,2025-04-15,Central,Furniture,Desk Lamp,5,39.99,0,199.95,90.0,109.95
ORD-0064,2025-02-17,West,Office Supplies,Notebook Pack,1,14.99,0,14.99,6.0,8.99
ORD-0065,2025-03-08,Central,Technology,USB-C Hub,9,44.99,0.15,344.17,180.0,164.17
ORD-0066,2025-08-07,Northeast,Technology,Laptop Stand,12,54.99,0,659.88,336.0,323.88
ORD-0067,2025-10-07,Northeast,Office Supplies,Desk Organizer,7,24.99,0,174.93,70.0,104.93
ORD-0068,2025-01-22,Central,Office Supplies,Notebook Pack,6,14.99,0,89.94,36.0,53.94
ORD-0069,2025-12-16,Southeast,Furniture,Office Chair,6,189.99,0.1,1025.95,630.0,395.95
ORD-0070,2025-07-28,Southeast,Technology,Wireless Mouse,3,29.99,0.05,85.47,39.0,46.47
ORD-0071,2025-01-13,Southeast,Furniture,Bookshelf,7,119.99,0.15,713.94,476.0,237.94
ORD-0072,2025-05-08,Central,Technology,Laptop Stand,7,54.99,0,384.93,196.0,188.93
ORD-0073,2025-08-29,Southeast,Technology,USB-C Hub,6,44.99,0,269.94,120.0,149.94
ORD-0074,2025-04-27,Southeast,Technology,Wireless Mouse,7,29.99,0,209.93,91.0,118.93
ORD-0075,2025-05-23,Northeast,Office Supplies,Printer Paper,11,11.99,0.1,118.7,55.0,63.7
ORD-0076,2025-07-24,Central,Technology,Laptop Stand,5,54.99,0,274.95,140.0,134.95
ORD-0077,2025-10-25,Central,Technology,Laptop Stand,10,54.99,0.05,522.4,280.0,242.4
ORD-0078,2025-06-26,Central,Office Supplies,Notebook Pack,7,14.99,0.1,94.44,42.0,52.44
ORD-0079,2025-04-08,Central,Technology,USB-C Hub,1,44.99,0.1,40.49,20.0,20.49
ORD-0080,2025-10-03,Southeast,Office Supplies,Gel Pen Set,2,9.99,0.15,16.98,7.0,9.98
ORD-0081,2025-06-19,Central,Furniture,Office Chair,12,189.99,0,2279.88,1260.0,1019.88
ORD-0082,2025-09-17,Central,Furniture,Desk Lamp,6,39.99,0.05,227.94,108.0,119.94
ORD-0083,2025-12-23,Central,Furniture,Standing Desk,4,329.99,0.05,1253.96,820.0,433.96
ORD-0084,2025-12-07,West,Furniture,Standing Desk,10,329.99,0.1,2969.91,2050.0,919.91
ORD-0085,2025-06-04,West,Furniture,Office Chair,5,189.99,0,949.95,525.0,424.95
ORD-0086,2025-04-18,West,Furniture,Bookshelf,8,119.99,0.05,911.92,544.0,367.92
ORD-0087,2025-08-15,Southeast,Furniture,Desk Lamp,12,39.99,0,479.88,216.0,263.88
ORD-0088,2025-12-04,Northeast,Office Supplies,Printer Paper,2,11.99,0,23.98,10.0,13.98
ORD-0089,2025-12-11,Central,Technology,Wireless Mouse,3,29.99,0,89.97,39.0,50.97
ORD-0090,2025-01-24,Southeast,Office Supplies,Notebook Pack,8,14.99,0.05,113.92,48.0,65.92
ORD-0091,2025-11-19,Southeast,Furniture,Desk Lamp,8,39.99,0.05,303.92,144.0,159.92
ORD-0092,2025-05-05,Southeast,Furniture,Office Chair,2,189.99,0.05,360.98,210.0,150.98
ORD-0093,2025-04-23,Southeast,Furniture,Desk Lamp,1,39.99,0.1,35.99,18.0,17.99
ORD-0094,2025-05-08,Northeast,Office Supplies,Desk Organizer,8,24.99,0.15,169.93,80.0,89.93
ORD-0095,2025-09-29,Central,Office Supplies,Gel Pen Set,9,9.99,0.05,85.41,31.5,53.91
ORD-0096,2025-03-23,West,Office Supplies,Printer Paper,4,11.99,0.15,40.77,20.0,20.77
ORD-0097,2025-05-22,West,Furniture,Standing Desk,5,329.99,0.05,1567.45,1025.0,542.45
ORD-0098,2025-02-09,Central,Technology,Mechanical Keyboard,6,79.99,0,479.94,234.0,245.94
ORD-0099,2025-10-04,Northeast,Technology,Wireless Mouse,4,29.99,0.05,113.96,52.0,61.96
ORD-0100,2025-12-22,Southeast,Furniture,Standing Desk,2,329.99,0.05,626.98,410.0,216.98
ORD-0101,2025-07-28,Central,Furniture,Desk Lamp,7,39.99,0,279.93,126.0,153.93
ORD-0102,2025-04-16,West,Office Supplies,Notebook Pack,10,14.99,0.05,142.41,60.0,82.41
ORD-0103,2025-09-02,Northeast,Office Supplies,Printer Paper,7,11.99,0.05,79.73,35.0,44.73
ORD-0104,2025-10-03,Southeast,Office Supplies,Desk Organizer,5,24.99,0.05,118.7,50.0,68.7
ORD-0105,2025-09-06,Northeast,Office Supplies,Printer Paper,11,11.99,0.15,112.11,55.0,57.11
ORD-0106,2025-07-27,Southeast,Office Supplies,Desk Organizer,10,24.99,0.1,224.91,100.0,124.91
ORD-0107,2025-01-14,West,Furniture,Office Chair,2,189.99,0.15,322.98,210.0,112.98
ORD-0108,2025-08-08,Southeast,Office Supplies,Desk Organizer,1,24.99,0,24.99,10.0,14.99
ORD-0109,2025-07-14,Central,Technology,USB-C Hub,6,44.99,0,269.94,120.0,149.94
ORD-0110,2025-07-14,Central,Office Supplies,Printer Paper,2,11.99,0.05,22.78,10.0,12.78
ORD-0111,2025-01-10,Northeast,Office Supplies,Desk Organizer,11,24.99,0,274.89,110.0,164.89
ORD-0112,2025-11-30,Northeast,Technology,Wireless Mouse,4,29.99,0,119.96,52.0,67.96
ORD-0113,2025-11-15,Southeast,Technology,Wireless Mouse,8,29.99,0.15,203.93,104.0,99.93
ORD-0114,2025-02-28,Southeast,Office Supplies,Printer Paper,6,11.99,0,71.94,30.0,41.94
ORD-0115,2025-11-07,Northeast,Technology,Mechanical Keyboard,2,79.99,0.1,143.98,78.0,65.98
ORD-0116,2025-01-14,Central,Furniture,Desk Lamp,7,39.99,0.15,237.94,126.0,111.94
ORD-0117,2025-04-12,Northeast,Furniture,Standing Desk,2,329.99,0.15,560.98,410.0,150.98
ORD-0118,2025-06-04,Northeast,Furniture,Office Chair,6,189.99,0.1,1025.95,630.0,395.95
ORD-0119,2025-08-08,Central,Technology,Mechanical Keyboard,1,79.99,0.05,75.99,39.0,36.99
ORD-0120,2025-09-08,Northeast,Office Supplies,Printer Paper,11,11.99,0.05,125.3,55.0,70.3
ORD-0121,2025-12-29,Southeast,Office Supplies,Desk Organizer,12,24.99,0.1,269.89,120.0,149.89
ORD-0122,2025-11-30,Central,Furniture,Desk Lamp,8,39.99,0.05,303.92,144.0,159.92
ORD-0123,2025-10-31,Central,Office Supplies,Desk Organizer,2,24.99,0,49.98,20.0,29.98
ORD-0124,2025-08-19,Southeast,Office Supplies,Gel Pen Set,6,9.99,0,59.94,21.0,38.94
ORD-0125,2025-09-11,Central,Technology,USB-C Hub,4,44.99,0,179.96,80.0,99.96
ORD-0126,2025-05-13,Central,Office Supplies,Printer Paper,9,11.99,0,107.91,45.0,62.91
ORD-0127,2025-09-22,Southeast,Technology,Wireless Mouse,12,29.99,0.05,341.89,156.0,185.89
ORD-0128,2025-09-08,Southeast,Furniture,Desk Lamp,11,39.99,0.15,373.91,198.0,175.91
ORD-0129,2025-09-09,West,Technology,Laptop Stand,5,54.99,0,274.95,140.0,134.95
ORD-0130,2025-07-27,Southeast,Office Supplies,Printer Paper,8,11.99,0.1,86.33,40.0,46.33
ORD-0131,2025-09-29,Central,Office Supplies,Printer Paper,6,11.99,0.15,61.15,30.0,31.15
ORD-0132,2025-08-21,Central,Office Supplies,Printer Paper,4,11.99,0,47.96,20.0,27.96
ORD-0133,2025-04-09,Central,Technology,Wireless Mouse,4,29.99,0,119.96,52.0,67.96
ORD-0134,2025-09-05,Central,Furniture,Bookshelf,2,119.99,0,239.98,136.0,103.98
ORD-0135,2025-06-01,Southeast,Office Supplies,Desk Organizer,5,24.99,0,124.95,50.0,74.95
ORD-0136,2025-12-29,Southeast,Office Supplies,Notebook Pack,1,14.99,0.1,13.49,6.0,7.49
ORD-0137,2025-05-30,Southeast,Furniture,Desk Lamp,2,39.99,0,79.98,36.0,43.98
ORD-0138,2025-10-21,Central,Office Supplies,Gel Pen Set,8,9.99,0,79.92,28.0,51.92
ORD-0139,2025-04-05,Northeast,Office Supplies,Gel Pen Set,2,9.99,0,19.98,7.0,12.98
ORD-0140,2025-07-25,West,Technology,Laptop Stand,3,54.99,0,164.97,84.0,80.97
ORD-0141,2025-10-16,Central,Technology,Wireless Mouse,2,29.99,0.1,53.98,26.0,27.98
ORD-0142,2025-08-02,Southeast,Furniture,Desk Lamp,8,39.99,0.05,303.92,144.0,159.92
ORD-0143,2025-06-02,West,Office Supplies,Notebook Pack,10,14.99,0.15,127.42,60.0,67.42
ORD-0144,2025-02-20,Southeast,Furniture,Standing Desk,5,329.99,0.15,1402.46,1025.0,377.46
ORD-0145,2025-02-11,Southeast,Technology,Wireless Mouse,9,29.99,0,269.91,117.0,152.91
ORD-0146,2025-03-22,Northeast,Office Supplies,Gel Pen Set,12,9.99,0.1,107.89,42.0,65.89
ORD-0147,2025-08-29,Central,Technology,Wireless Mouse,5,29.99,0.15,127.46,65.0,62.46
ORD-0148,2025-05-25,West,Technology,Wireless Mouse,5,29.99,0.15,127.46,65.0,62.46
ORD-0149,2025-10-29,Southeast,Office Supplies,Notebook Pack,9,14.99,0,134.91,54.0,80.91
ORD-0150,2025-11-28,Southeast,Office Supplies,Desk Organizer,2,24.99,0,49.98,20.0,29.98
ORD-0151,2025-03-26,Central,Furniture,Bookshelf,8,119.99,0,959.92,544.0,415.92
ORD-0152,2025-08-28,Central,Furniture,Desk Lamp,5,39.99,0.1,179.96,90.0,89.96
ORD-0153,2025-10-04,West,Office Supplies,Notebook Pack,10,14.99,0,149.9,60.0,89.9
ORD-0154,2025-08-10,Central,Furniture,Bookshelf,1,119.99,0,119.99,68.0,51.99
ORD-0155,2025-04-28,Northeast,Furniture,Bookshelf,10,119.99,0,1199.9,680.0,519.9
ORD-0156,2025-03-31,West,Furniture,Desk Lamp,5,39.99,0,199.95,90.0,109.95
ORD-0157,2025-10-27,West,Furniture,Desk Lamp,2,39.99,0.05,75.98,36.0,39.98
ORD-0158,2025-06-28,West,Office Supplies,Printer Paper,11,11.99,0,131.89,55.0,76.89
ORD-0159,2025-03-24,Central,Office Supplies,Gel Pen Set,5,9.99,0.15,42.46,17.5,24.96
ORD-0160,2025-07-25,Northeast,Office Supplies,Notebook Pack,6,14.99,0,89.94,36.0,53.94
ORD-0161,2025-06-15,Northeast,Office Supplies,Notebook Pack,11,14.99,0.1,148.4,66.0,82.4
ORD-0162,2025-08-25,West,Technology,Wireless Mouse,9,29.99,0,269.91,117.0,152.91
ORD-0163,2025-11-15,West,Furniture,Desk Lamp,1,39.99,0,39.99,18.0,21.99
ORD-0164,2025-05-17,Southeast,Office Supplies,Gel Pen Set,12,9.99,0.05,113.89,42.0,71.89
ORD-0165,2025-03-04,Northeast,Furniture,Standing Desk,12,329.99,0,3959.88,2460.0,1499.88
ORD-0166,2025-06-09,Northeast,Furniture,Desk Lamp,2,39.99,0,79.98,36.0,43.98
ORD-0167,2025-02-28,West,Technology,Wireless Mouse,8,29.99,0.15,203.93,104.0,99.93
ORD-0168,2025-05-30,Central,Office Supplies,Gel Pen Set,8,9.99,0,79.92,28.0,51.92
ORD-0169,2025-08-22,Southeast,Office Supplies,Desk Organizer,10,24.99,0.1,224.91,100.0,124.91
ORD-0170,2025-03-11,Northeast,Office Supplies,Gel Pen Set,6,9.99,0.1,53.95,21.0,32.95
ORD-0171,2025-05-17,Northeast,Office Supplies,Printer Paper,10,11.99,0.1,107.91,50.0,57.91
ORD-0172,2025-12-04,West,Technology,USB-C Hub,9,44.99,0.05,384.66,180.0,204.66
ORD-0173,2025-06-26,Central,Furniture,Desk Lamp,8,39.99,0,319.92,144.0,175.92
ORD-0174,2025-04-07,Southeast,Furniture,Desk Lamp,4,39.99,0.05,151.96,72.0,79.96
ORD-0175,2025-01-23,Central,Furniture,Desk Lamp,12,39.99,0.05,455.89,216.0,239.89
ORD-0176,2025-07-17,Southeast,Office Supplies,Notebook Pack,3,14.99,0.1,40.47,18.0,22.47
ORD-0177,2025-10-30,Central,Technology,USB-C Hub,2,44.99,0.1,80.98,40.0,40.98
ORD-0178,2025-08-22,Northeast,Furniture,Standing Desk,7,329.99,0.15,1963.44,1435.0,528.44
ORD-0179,2025-03-21,Northeast,Office Supplies,Printer Paper,6,11.99,0.1,64.75,30.0,34.75
ORD-0180,2025-12-21,West,Furniture,Office Chair,6,189.99,0.15,968.95,630.0,338.95
ORD-0181,2025-10-01,West,Office Supplies,Gel Pen Set,9,9.99,0,89.91,31.5,58.41
ORD-0182,2025-11-13,Northeast,Technology,Mechanical Keyboard,4,79.99,0.15,271.97,156.0,115.97
ORD-0183,2025-02-16,West,Technology,Laptop Stand,8,54.99,0,439.92,224.0,215.92
ORD-0184,2025-12-22,Central,Technology,Laptop Stand,6,54.99,0,329.94,168.0,161.94
ORD-0185,2025-05-31,Central,Office Supplies,Gel Pen Set,3,9.99,0,29.97,10.5,19.47
ORD-0186,2025-09-29,West,Furniture,Standing Desk,3,329.99,0,989.97,615.0,374.97
ORD-0187,2025-02-10,West,Furniture,Standing Desk,8,329.99,0.1,2375.93,1640.0,735.93
ORD-0188,2025-03-15,Southeast,Office Supplies,Printer Paper,8,11.99,0,95.92,40.0,55.92
ORD-0189,2025-12-08,Northeast,Office Supplies,Printer Paper,11,11.99,0.1,118.7,55.0,63.7
ORD-0190,2025-03-22,Northeast,Office Supplies,Printer Paper,10,11.99,0,119.9,50.0,69.9
ORD-0191,2025-11-24,West,Furniture,Bookshelf,8,119.99,0,959.92,544.0,415.92
ORD-0192,2025-04-12,West,Office Supplies,Notebook Pack,4,14.99,0.05,56.96,24.0,32.96
ORD-0193,2025-10-20,Central,Furniture,Bookshelf,12,119.99,0,1439.88,816.0,623.88
ORD-0194,2025-01-12,West,Office Supplies,Notebook Pack,10,14.99,0.15,127.42,60.0,67.42
ORD-0195,2025-01-26,West,Office Supplies,Desk Organizer,10,24.99,0,249.9,100.0,149.9
ORD-0196,2025-04-23,Southeast,Furniture,Bookshelf,11,119.99,0.15,1121.91,748.0,373.91
ORD-0197,2025-12-04,Southeast,Furniture,Office Chair,11,189.99,0.15,1776.41,1155.0,621.41
ORD-0198,2025-01-21,Central,Office Supplies,Notebook Pack,10,14.99,0,149.9,60.0,89.9
ORD-0199,2025-03-09,Northeast,Office Supplies,Printer Paper,12,11.99,0.05,136.69,60.0,76.69
ORD-0200,2025-03-31,Southeast,Technology,Mechanical Keyboard,9,79.99,0.1,647.92,351.0,296.92
ORD-0201,2025-05-20,Southeast,Office Supplies,Gel Pen Set,5,9.99,0.15,42.46,17.5,24.96
ORD-0202,2025-06-23,Northeast,Office Supplies,Notebook Pack,3,14.99,0,44.97,18.0,26.97
ORD-0203,2025-12-13,West,Furniture,Bookshelf,2,119.99,0.05,227.98,136.0,91.98
ORD-0204,2025-01-08,Central,Furniture,Office Chair,8,189.99,0,1519.92,840.0,679.92
ORD-0205,2025-12-11,Central,Furniture,Desk Lamp,11,39.99,0,439.89,198.0,241.89
ORD-0206,2025-02-25,Southeast,Office Supplies,Notebook Pack,10,14.99,0.1,134.91,60.0,74.91
ORD-0207,2025-06-17,Southeast,Furniture,Office Chair,11,189.99,0.05,1985.4,1155.0,830.4
ORD-0208,2025-12-25,Central,Furniture,Desk Lamp,2,39.99,0,79.98,36.0,43.98
ORD-0209,2025-01-24,Northeast,Office Supplies,Gel Pen Set,2,9.99,0,19.98,7.0,12.98
ORD-0210,2025-05-01,Southeast,Office Supplies,Gel Pen Set,6,9.99,0.15,50.95,21.0,29.95
ORD-0211,2025-12-23,West,Furniture,Standing Desk,7,329.99,0.15,1963.44,1435.0,528.44
ORD-0212,2025-02-20,West,Furniture,Desk Lamp,5,39.99,0,199.95,90.0,109.95
ORD-0213,2025-12-20,Central,Technology,USB-C Hub,8,44.99,0,359.92,160.0,199.92
ORD-0214,2025-07-05,Northeast,Furniture,Bookshelf,9,119.99,0.15,917.92,612.0,305.92
ORD-0215,2025-07-03,Northeast,Office Supplies,Printer Paper,4,11.99,0,47.96,20.0,27.96
ORD-0216,2025-08-21,Northeast,Furniture,Standing Desk,11,329.99,0.15,3085.41,2255.0,830.41
ORD-0217,2025-11-02,Northeast,Technology,Mechanical Keyboard,4,79.99,0,319.96,156.0,163.96
ORD-0218,2025-10-17,Southeast,Technology,Wireless Mouse,10,29.99,0,299.9,130.0,169.9
ORD-0219,2025-04-30,Central,Technology,Laptop Stand,5,54.99,0,274.95,140.0,134.95
ORD-0220,2025-03-08,Central,Technology,Laptop Stand,11,54.99,0,604.89,308.0,296.89
ORD-0221,2025-03-09,Northeast,Office Supplies,Desk Organizer,10,24.99,0,249.9,100.0,149.9
ORD-0222,2025-01-09,Southeast,Office Supplies,Notebook Pack,3,14.99,0.15,38.22,18.0,20.22
ORD-0223,2025-08-04,Northeast,Furniture,Office Chair,8,189.99,0.05,1443.92,840.0,603.92
ORD-0224,2025-07-05,Northeast,Office Supplies,Desk Organizer,10,24.99,0,249.9,100.0,149.9
ORD-0225,2025-12-04,Central,Office Supplies,Notebook Pack,1,14.99,0.05,14.24,6.0,8.24
ORD-0226,2025-07-25,West,Furniture,Office Chair,8,189.99,0.15,1291.93,840.0,451.93
ORD-0227,2025-08-16,Northeast,Technology,Mechanical Keyboard,10,79.99,0,799.9,390.0,409.9
ORD-0228,2025-02-03,Southeast,Office Supplies,Printer Paper,7,11.99,0.1,75.54,35.0,40.54
ORD-0229,2025-09-29,Central,Office Supplies,Gel Pen Set,2,9.99,0.15,16.98,7.0,9.98
ORD-0230,2025-02-28,Southeast,Office Supplies,Gel Pen Set,4,9.99,0.05,37.96,14.0,23.96
ORD-0231,2025-06-23,West,Office Supplies,Gel Pen Set,12,9.99,0,119.88,42.0,77.88
ORD-0232,2025-06-10,West,Office Supplies,Printer Paper,6,11.99,0,71.94,30.0,41.94
ORD-0233,2025-12-18,West,Technology,Laptop Stand,2,54.99,0,109.98,56.0,53.98
ORD-0234,2025-08-10,Northeast,Furniture,Bookshelf,3,119.99,0.1,323.97,204.0,119.97
ORD-0235,2025-01-31,Central,Furniture,Office Chair,7,189.99,0,1329.93,735.0,594.93
ORD-0236,2025-12-07,West,Furniture,Office Chair,5,189.99,0.1,854.96,525.0,329.96
ORD-0237,2025-06-09,Central,Technology,Wireless Mouse,3,29.99,0.15,76.47,39.0,37.47
ORD-0238,2025-09-04,Southeast,Technology,Mechanical Keyboard,9,79.99,0,719.91,351.0,368.91
ORD-0239,2025-02-28,Central,Furniture,Standing Desk,7,329.99,0.1,2078.94,1435.0,643.94
ORD-0240,2025-11-15,Northeast,Furniture,Bookshelf,1,119.99,0,119.99,68.0,51.99
ORD-0241,2025-05-20,Central,Office Supplies,Printer Paper,1,11.99,0,11.99,5.0,6.99
ORD-0242,2025-03-15,West,Technology,Wireless Mouse,12,29.99,0.15,305.9,156.0,149.9
ORD-0243,2025-01-16,Northeast,Furniture,Standing Desk,7,329.99,0.05,2194.43,1435.0,759.43
ORD-0244,2025-08-21,Central,Technology,Mechanical Keyboard,5,79.99,0.15,339.96,195.0,144.96
ORD-0245,2025-06-16,Northeast,Technology,Wireless Mouse,3,29.99,0.1,80.97,39.0,41.97
ORD-0246,2025-01-26,Northeast,Office Supplies,Gel Pen Set,11,9.99,0.05,104.4,38.5,65.9
ORD-0247,2025-09-06,West,Office Supplies,Printer Paper,4,11.99,0.1,43.16,20.0,23.16
ORD-0248,2025-02-28,Central,Office Supplies,Notebook Pack,5,14.99,0.15,63.71,30.0,33.71
ORD-0249,2025-12-14,West,Furniture,Bookshelf,1,119.99,0,119.99,68.0,51.99
ORD-0250,2025-07-22,Northeast,Technology,Wireless Mouse,5,29.99,0,149.95,65.0,84.95
ORD-0251,2025-03-12,Central,Office Supplies,Printer Paper,2,11.99,0,23.98,10.0,13.98
ORD-0252,2025-09-12,West,Technology,Wireless Mouse,7,29.99,0.1,188.94,91.0,97.94
ORD-0253,2025-12-27,Southeast,Furniture,Bookshelf,2,119.99,0.05,227.98,136.0,91.98
ORD-0254,2025-01-22,West,Technology,USB-C Hub,2,44.99,0,89.98,40.0,49.98
ORD-0255,2025-10-22,West,Furniture,Desk Lamp,12,39.99,0.15,407.9,216.0,191.9
ORD-0256,2025-08-02,Central,Technology,USB-C Hub,1,44.99,0,44.99,20.0,24.99
ORD-0257,2025-03-29,West,Furniture,Bookshelf,2,119.99,0.05,227.98,136.0,91.98
ORD-0258,2025-02-24,Southeast,Office Supplies,Gel Pen Set,9,9.99,0,89.91,31.5,58.41
ORD-0259,2025-07-22,Central,Furniture,Bookshelf,4,119.99,0,479.96,272.0,207.96
ORD-0260,2025-03-28,Northeast,Furniture,Office Chair,9,189.99,0.1,1538.92,945.0,593.92
ORD-0261,2025-04-10,Central,Office Supplies,Desk Organizer,4,24.99,0,99.96,40.0,59.96
ORD-0262,2025-03-16,Central,Technology,Wireless Mouse,10,29.99,0,299.9,130.0,169.9
ORD-0263,2025-12-02,Northeast,Technology,USB-C Hub,8,44.99,0.1,323.93,160.0,163.93
ORD-0264,2025-10-24,West,Furniture,Bookshelf,11,119.99,0,1319.89,748.0,571.89
